date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:54	18390/18390	---M--	200	added ('OK')	image/jpeg	etag:%22efae8e581a80d74a7bfc0c1a682cfcfe%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/frontend.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/frontend.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:43:40	395535/395535	---M--	200	added ('OK')	image/jpeg	etag:%2222e74383d40495ec5d25cb9be9958100%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/home-bg.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/home-bg.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:43:42	10789/10789	---M--	200	added ('OK')	image/png	etag:%220717c552124a44ad2737dfa6e7bc2d91%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/aws.png	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/certificate/aws.png	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:28	1303023/1303023	---M--	200	added ('OK')	image/jpeg	etag:%22b71801d06aa7ff8003e693cf33fbcebe%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/user-photo.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/user-photo.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:38	55522/55522	---M--	200	added ('OK')	image/jpeg	etag:%22b9178b7ee4c1ed188446540f36103bcd%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-1.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-1.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:44	1186245/1186245	---M--	200	added ('OK')	image/jpeg	etag:%22d54dd32c538bb452df6d8a0db5702709%22	https://udemy-certificate.s3.amazonaws.com/image/UC-VFASMTA7.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/udemy-certificate.s3.amazonaws.com/image/UC-VFASMTA7.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:45	1140793/1140793	---M--	200	added ('OK')	image/jpeg	etag:%22a06809134bfeade5403827ace2cd92d6%22	https://udemy-certificate.s3.amazonaws.com/image/UC-L4XUZEIQ.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/udemy-certificate.s3.amazonaws.com/image/UC-L4XUZEIQ.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:46	57405/57405	---M--	200	added ('OK')	image/jpeg	etag:%22baa26c4cec7622b7651d27b8c2318c27%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-2.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-2.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:55	69913/69913	---M--	200	added ('OK')	image/jpeg	etag:%22fd11c164155823158e9f41cc7497f9c1%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-3.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-3.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:45:58	71593/71593	---M--	200	added ('OK')	image/jpeg	etag:%220b7a5efdb1c616c5169d46f7c64a1f45%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-5.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-5.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
14:46:00	28451/28451	---M--	200	added ('OK')	image/jpeg	etag:%2201b298667d0e14ab186ca62f131ff2e5%22	http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-6.jpg	E:/http___jaykakadiya.com.s3-website-us-east-1.amazonaws.com/jaykakadiya.com.s3-website-us-east-1.amazonaws.com/img/portfolio/img-6.jpg	(from http://jaykakadiya.com.s3-website-us-east-1.amazonaws.com/)
